WARENAUSGANG_NR;WARENAUSGANG_DATUM;RECHNUNGSNUMMER;DEBITOR;DEBITORNAME;BETRAG_EUR;LAGERORT
WA300272;22.02.2025;AR500272;100116;KRANICH MASCHINEN KG;6812,00;Werk Musterhausen
WA300273;21.02.2025;AR500273;100001;FOKUS KUNSTSTOFF GMBH;25883,00;Werk Musterhausen
WA300274;24.02.2025;AR500274;100051;PACTUM DISTRIBUTION KG;21972,00;Werk Musterhausen
WA300275;12.02.2025;AR500275;100094;SATURN FORMTEILE SE;32589,00;Werk Musterhausen
WA300276;07.02.2025;AR500276;100133;ADLER FORMTEILE GMBH & CO. KG;7130,00;Werk Musterhausen
WA300277;26.02.2025;AR500277;100027;BOREAS TRANSPORT AG;39487,00;Werk Musterhausen
WA300278;14.02.2025;AR500278;100083;MERKUR MASCHINEN GMBH;28136,00;Werk Musterhausen
WA300279;19.02.2025;AR500279;100112;WEST CHEMIE GMBH & CO. KG;1475,00;Werk Musterhausen
WA300280;04.02.2025;AR500280;100086;HELIOS FOLIEN GMBH & CO. KG;36283,00;Werk Musterhausen
WA300281;04.02.2025;AR500281;100125;AURORA HANDEL GMBH;9378,00;Werk Musterhausen
WA300282;09.02.2025;AR500282;100095;KRONOS MASCHINEN SE;50219,00;Werk Musterhausen
WA300283;09.02.2025;AR500283;100068;VEGA ETIKETTEN KG;48092,00;Werk Musterhausen
WA300284;22.02.2025;AR500284;100105;WEST SYSTEME GMBH & CO. KG;27582,00;Werk Musterhausen
WA300285;15.02.2025;AR500285;100103;IRIS MASCHINEN AG;43709,00;Werk Musterhausen
WA300286;22.02.2025;AR500286;100148;AURORA INDUSTRIEBEDARF GMBH & CO. KG;22781,00;Werk Musterhausen
WA300287;07.02.2025;AR500287;100002;FOKUS DRUCK SE;41911,00;Werk Musterhausen
WA300288;26.02.2025;AR500288;100084;FOKUS LOGISTIK AG;26723,00;Werk Musterhausen
WA300289;04.02.2025;AR500289;100099;VEGA CHEMIE KG;8897,00;Werk Musterhausen
WA300290;03.02.2025;AR500290;100125;AURORA HANDEL GMBH;20051,00;Werk Musterhausen
WA300291;03.02.2025;AR500291;100084;FOKUS LOGISTIK AG;5942,00;Werk Musterhausen
WA300292;26.02.2025;AR500292;100052;ORION TRANSPORT GMBH;21343,00;Werk Musterhausen
WA300293;17.02.2025;AR500293;100099;VEGA CHEMIE KG;50326,00;Werk Musterhausen
WA300294;03.02.2025;AR500294;100072;IRIS LOGISTIK E.K.;42316,00;Werk Musterhausen
WA300295;15.02.2025;AR500295;100147;NOVA BESCHICHTUNG KG;30340,00;Werk Musterhausen
WA300296;14.02.2025;AR500296;100147;NOVA BESCHICHTUNG KG;20337,00;Werk Musterhausen
WA300297;17.02.2025;AR500297;100108;ATLAS MASCHINEN AG;43379,00;Werk Musterhausen
WA300298;13.02.2025;AR500298;100090;WEST WERKSTOFFE GMBH;48936,00;Werk Musterhausen
WA300299;07.02.2025;AR500299;100094;SATURN FORMTEILE SE;1719,00;Werk Musterhausen
WA300300;26.02.2025;AR500300;100050;OST CHEMIE GMBH;27333,00;Werk Musterhausen
WA300301;03.02.2025;AR500301;100131;WEST FORMTEILE GMBH;13282,00;Werk Musterhausen
WA300302;14.02.2025;AR500302;100109;SOLUM KARTON GMBH & CO. KG;27778,00;Werk Musterhausen
WA300303;05.02.2025;AR500303;100122;FOKUS SYSTEME GMBH;12927,00;Werk Musterhausen
WA300304;10.02.2025;AR500304;100081;ADLER RECYCLING GMBH;12278,00;Werk Musterhausen
WA300305;16.02.2025;AR500305;100115;BOREAS KUNSTSTOFF KG;15036,00;Werk Musterhausen
WA300306;16.02.2025;AR500306;100136;KRANICH LOGISTIK GMBH;50024,00;Werk Musterhausen
WA300307;02.02.2025;AR500307;100047;ADLER KARTON KG;41454,00;Werk Musterhausen
WA300308;17.02.2025;AR500308;100062;POLLUX BESCHICHTUNG GMBH;29379,00;Werk Musterhausen
WA300309;04.02.2025;AR500309;100143;NOVA WERKSTOFFE KG;34835,00;Werk Musterhausen
WA300310;02.02.2025;AR500310;100100;KRONOS TRANSPORT SE;43049,00;Werk Musterhausen
WA300311;20.02.2025;AR500311;100096;ALPHA SYSTEME E.K.;8053,00;Werk Musterhausen
WA300312;12.02.2025;AR500312;100012;ATLAS FORMTEILE SE;43238,00;Werk Musterhausen
WA300313;18.02.2025;AR500313;100032;OMEGA VERPACKUNG KG;20317,00;Werk Musterhausen
WA300314;08.02.2025;AR500314;100019;POLLUX SYSTEME GMBH;51829,00;Werk Musterhausen
WA300315;23.02.2025;AR500315;100106;ALPHA RECYCLING AG;17541,00;Werk Musterhausen
WA300316;16.02.2025;AR500316;100118;LUPUS PAPIER GMBH;25510,00;Werk Musterhausen
WA300317;16.02.2025;AR500317;100035;CIVES TECHNIK GMBH;4429,00;Werk Musterhausen
WA300318;28.02.2025;AR500318;100111;PACTUM RECYCLING E.K.;51516,00;Werk Musterhausen
WA300319;25.02.2025;AR500319;100068;VEGA ETIKETTEN KG;47866,00;Werk Musterhausen
WA300320;18.02.2025;AR500320;100038;SATURN MASCHINEN GMBH;23641,00;Werk Musterhausen
WA300321;01.02.2025;AR500321;100055;ADLER DRUCK KG;22213,00;Werk Musterhausen
WA300322;10.02.2025;AR500322;100108;ATLAS MASCHINEN AG;27471,00;Werk Musterhausen
WA300323;17.02.2025;AR500323;100132;CORVUS CHEMIE KG;28561,00;Werk Musterhausen
WA300324;01.02.2025;AR500324;100099;VEGA CHEMIE KG;37548,00;Werk Musterhausen
WA300325;15.02.2025;AR500325;100030;PRISMA ETIKETTEN AG;37189,00;Werk Musterhausen
WA300326;17.02.2025;AR500326;100024;KRANICH HANDEL GMBH;27953,00;Werk Musterhausen
WA300327;04.02.2025;AR500327;100100;KRONOS TRANSPORT SE;51100,00;Werk Musterhausen
WA300328;19.02.2025;AR500328;100012;ATLAS FORMTEILE SE;7756,00;Werk Musterhausen
WA300329;19.02.2025;AR500329;100006;SÜD DRUCK GMBH;19199,00;Werk Musterhausen
WA300330;10.02.2025;AR500330;100020;ADLER TRANSPORT GMBH;26956,00;Werk Musterhausen
WA300331;20.02.2025;AR500331;100072;IRIS LOGISTIK E.K.;24902,00;Werk Musterhausen
WA300332;20.02.2025;AR500332;100010;FOKUS TECHNIK GMBH;26437,00;Werk Musterhausen
WA300333;27.02.2025;AR500333;100062;POLLUX BESCHICHTUNG GMBH;43183,00;Werk Musterhausen
WA300334;02.02.2025;AR500334;100123;SÜD CHEMIE GMBH & CO. KG;17399,00;Werk Musterhausen
WA300335;10.02.2025;AR500335;100048;ATLAS ETIKETTEN GMBH & CO. KG;47572,00;Werk Musterhausen
WA300336;25.02.2025;AR500336;100136;KRANICH LOGISTIK GMBH;22204,00;Werk Musterhausen
WA300337;07.02.2025;AR500337;100070;ADLER DRUCK GMBH;10720,00;Werk Musterhausen
WA300338;08.02.2025;AR500338;100132;CORVUS CHEMIE KG;50131,00;Werk Musterhausen
WA300339;23.02.2025;AR500339;100099;VEGA CHEMIE KG;37921,00;Werk Musterhausen
WA300340;25.03.2025;AR500340;100116;KRANICH MASCHINEN KG;4115,00;Werk Musterhausen
WA300341;05.03.2025;AR500341;100053;REIHER LOGISTIK GMBH;27987,00;Werk Musterhausen
WA300342;31.03.2025;AR500342;100014;ALPHA HANDEL GMBH;5349,00;Werk Musterhausen
WA300343;14.03.2025;AR500343;100104;NORD INDUSTRIEBEDARF GMBH;11758,00;Werk Musterhausen
WA300344;07.03.2025;AR500344;100040;SOLUM WERKSTOFFE GMBH;21948,00;Werk Musterhausen
WA300345;24.03.2025;AR500345;100018;SOLUM RECYCLING AG;41677,00;Werk Musterhausen
WA300346;11.03.2025;AR500346;100124;MERKUR MASCHINEN KG;16454,00;Werk Musterhausen
WA300347;03.03.2025;AR500347;100077;KRANICH FORMTEILE E.K.;18139,00;Werk Musterhausen
WA300348;17.03.2025;AR500348;100013;NOVA FORMTEILE GMBH;22120,00;Werk Musterhausen
WA300349;02.03.2025;AR500349;100159;MERKUR DRUCK AG;5602,00;Werk Musterhausen
WA300350;22.03.2025;AR500350;100069;HELIOS WERKSTOFFE GMBH;3478,00;Werk Musterhausen
WA300351;11.03.2025;AR500351;100150;SÜD RECYCLING GMBH;21705,00;Werk Musterhausen
WA300352;29.03.2025;AR500352;100064;FALKE MASCHINEN GMBH;40756,00;Werk Musterhausen
WA300353;29.03.2025;AR500353;100060;ATLAS FOLIEN GMBH & CO. KG;29792,00;Werk Musterhausen
WA300354;25.03.2025;AR500354;100033;WEST TECHNIK GMBH;14729,00;Werk Musterhausen
WA300355;27.03.2025;AR500355;100112;WEST CHEMIE GMBH & CO. KG;5728,00;Werk Musterhausen
WA300356;20.03.2025;AR500356;100078;FALKE SYSTEME GMBH;54794,00;Werk Musterhausen
WA300357;02.03.2025;AR500357;100157;IRIS DISTRIBUTION GMBH;32779,00;Werk Musterhausen
WA300358;28.03.2025;AR500358;100074;WEST LOGISTIK KG;10802,00;Werk Musterhausen
WA300359;09.03.2025;AR500359;100080;RATIO SYSTEME GMBH;47178,00;Werk Musterhausen
WA300360;08.03.2025;AR500360;100012;ATLAS FORMTEILE SE;5802,00;Werk Musterhausen
WA300361;29.03.2025;AR500361;100126;DELTA TECHNIK SE;7959,00;Werk Musterhausen
WA300362;03.03.2025;AR500362;100004;PRISMA SYSTEME AG;44581,00;Werk Musterhausen
WA300363;14.03.2025;AR500363;100091;RATIO RECYCLING AG;33346,00;Werk Musterhausen
WA300364;05.03.2025;AR500364;100085;WEST LOGISTIK GMBH;34227,00;Werk Musterhausen
WA300365;15.03.2025;AR500365;100031;RATIO PAPIER KG;28845,00;Werk Musterhausen
WA300366;31.03.2025;AR500366;100085;WEST LOGISTIK GMBH;24916,00;Werk Musterhausen
WA300367;29.03.2025;AR500367;100029;PRISMA WERKSTOFFE SE;12953,00;Werk Musterhausen
WA300368;01.03.2025;AR500368;100134;SOLUM TRANSPORT E.K.;6268,00;Werk Musterhausen
WA300369;19.03.2025;AR500369;100118;LUPUS PAPIER GMBH;19895,00;Werk Musterhausen
WA300370;13.03.2025;AR500370;100092;SATURN ETIKETTEN GMBH;14519,00;Werk Musterhausen
WA300371;12.03.2025;AR500371;100090;WEST WERKSTOFFE GMBH;28282,00;Werk Musterhausen
WA300372;30.03.2025;AR500372;100062;POLLUX BESCHICHTUNG GMBH;35013,00;Werk Musterhausen
WA300373;30.03.2025;AR500373;100117;ATLAS HANDEL E.K.;37454,00;Werk Musterhausen
WA300374;07.03.2025;AR500374;100134;SOLUM TRANSPORT E.K.;30366,00;Werk Musterhausen
WA300375;05.03.2025;AR500375;100083;MERKUR MASCHINEN GMBH;42214,00;Werk Musterhausen
WA300376;01.03.2025;AR500376;100037;PACTUM TECHNIK GMBH;53603,00;Werk Musterhausen
WA300377;27.03.2025;AR500377;100080;RATIO SYSTEME GMBH;15556,00;Werk Musterhausen
WA300378;20.03.2025;AR500378;100032;OMEGA VERPACKUNG KG;38397,00;Werk Musterhausen
WA300379;23.03.2025;AR500379;100143;NOVA WERKSTOFFE KG;17015,00;Werk Musterhausen
WA300380;23.03.2025;AR500380;100141;SOLUM TRANSPORT KG;54598,00;Werk Musterhausen
WA300381;03.03.2025;AR500381;100086;HELIOS FOLIEN GMBH & CO. KG;49671,00;Werk Musterhausen
WA300382;09.03.2025;AR500382;100040;SOLUM WERKSTOFFE GMBH;44709,00;Werk Musterhausen
WA300383;08.03.2025;AR500383;100097;VEGA WERKSTOFFE KG;49446,00;Werk Musterhausen
WA300384;31.03.2025;AR500384;100096;ALPHA SYSTEME E.K.;20785,00;Werk Musterhausen
WA300385;29.03.2025;AR500385;100004;PRISMA SYSTEME AG;26534,00;Werk Musterhausen
WA300386;18.03.2025;AR500386;100070;ADLER DRUCK GMBH;23677,00;Werk Musterhausen
WA300387;31.03.2025;AR500387;100107;CASTOR VERPACKUNG AG;37519,00;Werk Musterhausen
WA300388;01.03.2025;AR500388;100134;SOLUM TRANSPORT E.K.;15023,00;Werk Musterhausen
WA300389;23.03.2025;AR500389;100151;KRONOS KUNSTSTOFF KG;51724,00;Werk Musterhausen
WA300390;13.03.2025;AR500390;100030;PRISMA ETIKETTEN AG;47315,00;Werk Musterhausen
WA300391;07.03.2025;AR500391;100103;IRIS MASCHINEN AG;29956,00;Werk Musterhausen
WA300392;20.03.2025;AR500392;100128;RATIO INDUSTRIEBEDARF AG;5842,00;Werk Musterhausen
WA300393;08.03.2025;AR500393;100101;WEST KARTON GMBH;41982,00;Werk Musterhausen
WA300394;05.03.2025;AR500394;100068;VEGA ETIKETTEN KG;30638,00;Werk Musterhausen
WA300395;21.03.2025;AR500395;100106;ALPHA RECYCLING AG;41238,00;Werk Musterhausen
WA300396;04.03.2025;AR500396;100148;AURORA INDUSTRIEBEDARF GMBH & CO. KG;16181,00;Werk Musterhausen
WA300397;25.03.2025;AR500397;100028;VEGA FOLIEN GMBH;42739,00;Werk Musterhausen
WA300398;02.03.2025;AR500398;100069;HELIOS WERKSTOFFE GMBH;22868,00;Werk Musterhausen
WA300399;04.03.2025;AR500399;100075;FALKE ETIKETTEN E.K.;23392,00;Werk Musterhausen
WA300400;28.03.2025;AR500400;100150;SÜD RECYCLING GMBH;23955,00;Werk Musterhausen
WA300401;31.03.2025;AR500401;100052;ORION TRANSPORT GMBH;12022,00;Werk Musterhausen
WA300402;26.03.2025;AR500402;100100;KRONOS TRANSPORT SE;43158,00;Werk Musterhausen
WA300403;13.03.2025;AR500403;100093;TERRA RECYCLING GMBH;7532,00;Werk Musterhausen
WA300404;11.03.2025;AR500404;100003;IRIS MASCHINEN KG;25639,00;Werk Musterhausen
WA300405;02.03.2025;AR500405;100039;IRIS TECHNIK GMBH;19629,00;Werk Musterhausen
WA300406;18.03.2025;AR500406;100153;KRONOS INDUSTRIEBEDARF E.K.;22124,00;Werk Musterhausen
WA300407;05.03.2025;AR500407;100079;CORVUS KARTON GMBH;31393,00;Werk Musterhausen
WA300408;11.03.2025;AR500408;100010;FOKUS TECHNIK GMBH;49287,00;Werk Musterhausen
WA300409;05.03.2025;AR500409;100129;ALPHA PAPIER E.K.;5093,00;Werk Musterhausen
WA300410;07.03.2025;AR500410;100056;NORD WERKSTOFFE SE;12731,00;Werk Musterhausen
WA300411;17.03.2025;AR500411;100126;DELTA TECHNIK SE;29011,00;Werk Musterhausen
WA300412;16.03.2025;AR500412;100044;VEGA FORMTEILE GMBH;41859,00;Werk Musterhausen
WA300413;17.03.2025;AR500413;100153;KRONOS INDUSTRIEBEDARF E.K.;41455,00;Werk Musterhausen
WA300414;15.03.2025;AR500414;100038;SATURN MASCHINEN GMBH;5514,00;Werk Musterhausen
WA300415;17.03.2025;AR500415;100099;VEGA CHEMIE KG;53715,00;Werk Musterhausen
WA300416;19.03.2025;AR500416;100084;FOKUS LOGISTIK AG;46743,00;Werk Musterhausen
WA300417;07.03.2025;AR500417;100098;PACTUM FOLIEN AG;49828,00;Werk Musterhausen
WA300418;29.03.2025;AR500418;100134;SOLUM TRANSPORT E.K.;51283,00;Werk Musterhausen
WA300419;30.03.2025;AR500419;100053;REIHER LOGISTIK GMBH;38294,00;Werk Musterhausen
WA300420;14.03.2025;AR500420;100056;NORD WERKSTOFFE SE;30218,00;Werk Musterhausen
WA300421;05.03.2025;AR500421;100141;SOLUM TRANSPORT KG;31715,00;Werk Musterhausen
WA300422;21.03.2025;AR500422;100154;CIVES WERKSTOFFE E.K.;17941,00;Werk Musterhausen
WA300423;11.03.2025;AR500423;100020;ADLER TRANSPORT GMBH;42188,00;Werk Musterhausen
WA300424;08.03.2025;AR500424;100159;MERKUR DRUCK AG;1874,00;Werk Musterhausen
WA300425;18.03.2025;AR500425;100089;LUPUS RECYCLING GMBH;51369,00;Werk Musterhausen
WA300426;21.03.2025;AR500426;100068;VEGA ETIKETTEN KG;30729,00;Werk Musterhausen
WA300427;26.03.2025;AR500427;100109;SOLUM KARTON GMBH & CO. KG;29760,00;Werk Musterhausen
WA300428;19.03.2025;AR500428;100128;RATIO INDUSTRIEBEDARF AG;5514,00;Werk Musterhausen
WA300429;28.03.2025;AR500429;100047;ADLER KARTON KG;43012,00;Werk Musterhausen
WA300430;26.03.2025;AR500430;100046;SÜD KUNSTSTOFF KG;9392,00;Werk Musterhausen
WA300431;25.03.2025;AR500431;100052;ORION TRANSPORT GMBH;49298,00;Werk Musterhausen
WA300432;12.03.2025;AR500432;100140;MERKUR HANDEL E.K.;43458,00;Werk Musterhausen
WA300433;30.03.2025;AR500433;100035;CIVES TECHNIK GMBH;18472,00;Werk Musterhausen
WA300434;07.03.2025;AR500434;100027;BOREAS TRANSPORT AG;4629,00;Werk Musterhausen
WA300435;20.03.2025;AR500435;100048;ATLAS ETIKETTEN GMBH & CO. KG;39880,00;Werk Musterhausen
WA300436;16.03.2025;AR500436;100053;REIHER LOGISTIK GMBH;29003,00;Werk Musterhausen
WA300437;29.03.2025;AR500437;100079;CORVUS KARTON GMBH;54756,00;Werk Musterhausen
WA300438;25.03.2025;AR500438;100066;SOLUM PAPIER GMBH;27494,00;Werk Musterhausen
WA300439;27.03.2025;AR500439;100010;FOKUS TECHNIK GMBH;48215,00;Werk Musterhausen
WA300440;19.03.2025;AR500440;100067;NOVA DRUCK GMBH;18546,00;Werk Musterhausen
WA300441;09.03.2025;AR500441;100086;HELIOS FOLIEN GMBH & CO. KG;36918,00;Werk Musterhausen
WA300442;10.03.2025;AR500442;100114;ATLAS CHEMIE GMBH;29750,00;Werk Musterhausen
WA300443;15.03.2025;AR500443;100152;NORD WERKSTOFFE GMBH;8585,00;Werk Musterhausen
WA300444;22.03.2025;AR500444;100024;KRANICH HANDEL GMBH;30024,00;Werk Musterhausen
WA300445;31.03.2025;AR500445;100104;NORD INDUSTRIEBEDARF GMBH;34522,00;Werk Musterhausen
WA300446;10.03.2025;AR500446;100073;KRANICH MASCHINEN AG;29611,00;Werk Musterhausen
WA300447;06.03.2025;AR500447;100103;IRIS MASCHINEN AG;14544,00;Werk Musterhausen
WA300448;25.03.2025;AR500448;100148;AURORA INDUSTRIEBEDARF GMBH & CO. KG;21344,00;Werk Musterhausen
WA300449;01.03.2025;AR500449;100086;HELIOS FOLIEN GMBH & CO. KG;54012,00;Werk Musterhausen
WA300450;10.03.2025;AR500450;100025;LUPUS CHEMIE AG;45763,00;Werk Musterhausen
WA300451;16.03.2025;AR500451;100010;FOKUS TECHNIK GMBH;17154,00;Werk Musterhausen
WA300452;16.03.2025;AR500452;100099;VEGA CHEMIE KG;5806,00;Werk Musterhausen
WA300453;16.03.2025;AR500453;100153;KRONOS INDUSTRIEBEDARF E.K.;50159,00;Werk Musterhausen
WA300454;07.03.2025;AR500454;100052;ORION TRANSPORT GMBH;30039,00;Werk Musterhausen
WA300455;06.03.2025;AR500455;100133;ADLER FORMTEILE GMBH & CO. KG;5022,00;Werk Musterhausen
WA300456;24.03.2025;AR500456;100066;SOLUM PAPIER GMBH;26112,00;Werk Musterhausen
WA300457;19.03.2025;AR500457;100010;FOKUS TECHNIK GMBH;49280,00;Werk Musterhausen
WA300458;15.03.2025;AR500458;100119;TITAN WERKSTOFFE GMBH & CO. KG;35706,00;Werk Musterhausen
WA300459;22.03.2025;AR500459;100057;CORVUS FORMTEILE GMBH;15504,00;Werk Musterhausen
WA300460;10.03.2025;AR500460;100001;FOKUS KUNSTSTOFF GMBH;46651,00;Werk Musterhausen
WA300461;09.03.2025;AR500461;100143;NOVA WERKSTOFFE KG;18316,00;Werk Musterhausen
WA300462;14.03.2025;AR500462;100060;ATLAS FOLIEN GMBH & CO. KG;40327,00;Werk Musterhausen
WA300463;26.03.2025;AR500463;100103;IRIS MASCHINEN AG;32085,00;Werk Musterhausen
WA300464;22.03.2025;AR500464;100081;ADLER RECYCLING GMBH;4849,00;Werk Musterhausen
WA300465;03.03.2025;AR500465;100110;RATIO RECYCLING E.K.;2096,00;Werk Musterhausen
WA300466;16.03.2025;AR500466;100012;ATLAS FORMTEILE SE;41902,00;Werk Musterhausen
WA300467;28.03.2025;AR500467;100120;WEST TECHNIK SE;32172,00;Werk Musterhausen
WA300468;21.03.2025;AR500468;100139;RATIO BESCHICHTUNG KG;2714,00;Werk Musterhausen
WA300469;09.03.2025;AR500469;100032;OMEGA VERPACKUNG KG;18425,00;Werk Musterhausen
WA300470;16.03.2025;AR500470;100120;WEST TECHNIK SE;45649,00;Werk Musterhausen
WA300471;14.03.2025;AR500471;100071;VEGA PAPIER GMBH;30342,00;Werk Musterhausen
WA300472;29.03.2025;AR500472;100135;PACTUM KARTON E.K.;16402,00;Werk Musterhausen
WA300473;27.03.2025;AR500473;100047;ADLER KARTON KG;1359,00;Werk Musterhausen
WA300474;12.03.2025;AR500474;100088;NOVA BESCHICHTUNG GMBH;53216,00;Werk Musterhausen
WA300475;11.03.2025;AR500475;100124;MERKUR MASCHINEN KG;2960,00;Werk Musterhausen
WA300476;17.03.2025;AR500476;100109;SOLUM KARTON GMBH & CO. KG;5862,00;Werk Musterhausen
WA300477;24.03.2025;AR500477;100094;SATURN FORMTEILE SE;25561,00;Werk Musterhausen
WA300478;07.03.2025;AR500478;100138;ALPHA FOLIEN GMBH;22898,00;Werk Musterhausen
WA300479;26.03.2025;AR500479;100060;ATLAS FOLIEN GMBH & CO. KG;31835,00;Werk Musterhausen
WA300480;25.03.2025;AR500480;100071;VEGA PAPIER GMBH;6616,00;Werk Musterhausen
WA300481;12.03.2025;AR500481;100103;IRIS MASCHINEN AG;33759,00;Werk Musterhausen
WA300482;02.03.2025;AR500482;100132;CORVUS CHEMIE KG;21016,00;Werk Musterhausen
WA300483;12.03.2025;AR500483;100135;PACTUM KARTON E.K.;43508,00;Werk Musterhausen
WA300484;12.03.2025;AR500484;100082;NORD PAPIER KG;25462,00;Werk Musterhausen
WA300485;02.03.2025;AR500485;100092;SATURN ETIKETTEN GMBH;23272,00;Werk Musterhausen
WA300486;05.03.2025;AR500486;100145;ATLAS RECYCLING SE;37751,00;Werk Musterhausen
WA300487;10.03.2025;AR500487;100131;WEST FORMTEILE GMBH;50973,00;Werk Musterhausen
WA300488;07.03.2025;AR500488;100046;SÜD KUNSTSTOFF KG;5966,00;Werk Musterhausen
WA300489;22.03.2025;AR500489;100056;NORD WERKSTOFFE SE;17485,00;Werk Musterhausen
WA300490;12.03.2025;AR500490;100038;SATURN MASCHINEN GMBH;6466,00;Werk Musterhausen
WA300491;08.03.2025;AR500491;100109;SOLUM KARTON GMBH & CO. KG;37353,00;Werk Musterhausen
WA300492;26.03.2025;AR500492;100047;ADLER KARTON KG;33779,00;Werk Musterhausen
WA300493;04.03.2025;AR500493;100091;RATIO RECYCLING AG;48536,00;Werk Musterhausen
WA300494;21.03.2025;AR500494;100065;ATLAS ETIKETTEN E.K.;34149,00;Werk Musterhausen
WA300495;16.03.2025;AR500495;100103;IRIS MASCHINEN AG;16198,00;Werk Musterhausen
WA300496;09.03.2025;AR500496;100125;AURORA HANDEL GMBH;49174,00;Werk Musterhausen
WA300497;07.03.2025;AR500497;100088;NOVA BESCHICHTUNG GMBH;37489,00;Werk Musterhausen
WA300498;30.03.2025;AR500498;100077;KRANICH FORMTEILE E.K.;6815,00;Werk Musterhausen
WA300499;27.03.2025;AR500499;100099;VEGA CHEMIE KG;33832,00;Werk Musterhausen
WA300500;06.03.2025;AR500500;100094;SATURN FORMTEILE SE;15707,00;Werk Musterhausen
WA300501;09.03.2025;AR500501;100106;ALPHA RECYCLING AG;13926,00;Werk Musterhausen
WA300502;22.03.2025;AR500502;100028;VEGA FOLIEN GMBH;34953,00;Werk Musterhausen
WA300503;18.03.2025;AR500503;100109;SOLUM KARTON GMBH & CO. KG;482,00;Werk Musterhausen
WA300504;27.03.2025;AR500504;100085;WEST LOGISTIK GMBH;16896,00;Werk Musterhausen
WA300505;30.03.2025;AR500505;100059;FOKUS RECYCLING GMBH & CO. KG;28439,00;Werk Musterhausen
WA300506;09.03.2025;AR500506;100086;HELIOS FOLIEN GMBH & CO. KG;17697,00;Werk Musterhausen
WA300507;07.03.2025;AR500507;100065;ATLAS ETIKETTEN E.K.;26952,00;Werk Musterhausen
WA300508;05.03.2025;AR500508;100152;NORD WERKSTOFFE GMBH;27466,00;Werk Musterhausen
WA300509;31.03.2025;AR500509;100067;NOVA DRUCK GMBH;9823,00;Werk Musterhausen
WA300510;25.04.2025;AR500510;100040;SOLUM WERKSTOFFE GMBH;14575,00;Werk Musterhausen
WA300511;30.04.2025;AR500511;100032;OMEGA VERPACKUNG KG;8488,00;Werk Musterhausen
WA300512;10.04.2025;AR500512;100128;RATIO INDUSTRIEBEDARF AG;23724,00;Werk Musterhausen
WA300513;17.04.2025;AR500513;100079;CORVUS KARTON GMBH;4786,00;Werk Musterhausen
WA300514;06.04.2025;AR500514;100097;VEGA WERKSTOFFE KG;54718,00;Werk Musterhausen
WA300515;15.04.2025;AR500515;100034;BOREAS PAPIER GMBH;34395,00;Werk Musterhausen
WA300516;28.04.2025;AR500516;100122;FOKUS SYSTEME GMBH;53727,00;Werk Musterhausen
WA300517;06.04.2025;AR500517;100082;NORD PAPIER KG;38576,00;Werk Musterhausen
WA300518;27.04.2025;AR500518;100143;NOVA WERKSTOFFE KG;46183,00;Werk Musterhausen
WA300519;03.04.2025;AR500519;100115;BOREAS KUNSTSTOFF KG;24440,00;Werk Musterhausen
WA300520;18.04.2025;AR500520;100095;KRONOS MASCHINEN SE;38675,00;Werk Musterhausen
WA300521;14.04.2025;AR500521;100059;FOKUS RECYCLING GMBH & CO. KG;736,00;Werk Musterhausen
WA300522;21.04.2025;AR500522;100063;MERKUR DRUCK SE;29297,00;Werk Musterhausen
WA300523;09.04.2025;AR500523;100073;KRANICH MASCHINEN AG;36300,00;Werk Musterhausen
WA300524;27.04.2025;AR500524;100142;NOVA RECYCLING SE;9607,00;Werk Musterhausen
WA300525;24.04.2025;AR500525;100092;SATURN ETIKETTEN GMBH;51189,00;Werk Musterhausen
WA300526;22.04.2025;AR500526;100153;KRONOS INDUSTRIEBEDARF E.K.;13733,00;Werk Musterhausen
WA300527;30.04.2025;AR500527;100062;POLLUX BESCHICHTUNG GMBH;40427,00;Werk Musterhausen
WA300528;26.04.2025;AR500528;100057;CORVUS FORMTEILE GMBH;2891,00;Werk Musterhausen
WA300529;21.04.2025;AR500529;100086;HELIOS FOLIEN GMBH & CO. KG;1519,00;Werk Musterhausen
WA300530;14.04.2025;AR500530;100065;ATLAS ETIKETTEN E.K.;44190,00;Werk Musterhausen
WA300531;19.04.2025;AR500531;100063;MERKUR DRUCK SE;29454,00;Werk Musterhausen
WA300532;22.04.2025;AR500532;100077;KRANICH FORMTEILE E.K.;38690,00;Werk Musterhausen
WA300533;28.04.2025;AR500533;100080;RATIO SYSTEME GMBH;11731,00;Werk Musterhausen
WA300534;28.04.2025;AR500534;100081;ADLER RECYCLING GMBH;32876,00;Werk Musterhausen
WA300535;09.04.2025;AR500535;100007;RATIO LOGISTIK GMBH;32207,00;Werk Musterhausen
WA300536;09.04.2025;AR500536;100056;NORD WERKSTOFFE SE;46823,00;Werk Musterhausen
WA300537;04.04.2025;AR500537;100129;ALPHA PAPIER E.K.;51376,00;Werk Musterhausen
WA300538;06.04.2025;AR500538;100116;KRANICH MASCHINEN KG;51508,00;Werk Musterhausen
WA300539;12.04.2025;AR500539;100133;ADLER FORMTEILE GMBH & CO. KG;1922,00;Werk Musterhausen
WA300540;10.04.2025;AR500540;100077;KRANICH FORMTEILE E.K.;26917,00;Werk Musterhausen
WA300541;21.04.2025;AR500541;100071;VEGA PAPIER GMBH;49493,00;Werk Musterhausen
WA300542;18.04.2025;AR500542;100122;FOKUS SYSTEME GMBH;12985,00;Werk Musterhausen
