RECHNUNGSNUMMER;ART;DEBITOR;DEBITORNAME;FAKTURADATUM;LEISTUNGSDATUM;BETRAG_EUR;WAEHRUNG;BEMERKUNG
AR500256;Rechnung;100111;PACTUM RECYCLING E.K.;15.02.2025;15.02.2025;31618,00;EUR;
AR500257;Rechnung;100133;ADLER FORMTEILE GMBH & CO. KG;17.02.2025;17.02.2025;21113,00;EUR;
AR500258;Rechnung;100110;RATIO RECYCLING E.K.;20.02.2025;20.02.2025;26786,00;EUR;
AR500259;Rechnung;100153;KRONOS INDUSTRIEBEDARF E.K.;07.02.2025;07.02.2025;5174,00;EUR;
AR500260;Rechnung;100118;LUPUS PAPIER GMBH;08.02.2025;08.02.2025;22007,00;EUR;
AR500261;Rechnung;100061;TERRA KARTON E.K.;04.02.2025;04.02.2025;54514,00;EUR;
AR500262;Rechnung;100067;NOVA DRUCK GMBH;10.02.2025;10.02.2025;10434,00;EUR;
AR500263;Rechnung;100064;FALKE MASCHINEN GMBH;19.02.2025;19.02.2025;36045,00;EUR;
AR500264;Rechnung;100147;NOVA BESCHICHTUNG KG;20.02.2025;20.02.2025;42248,00;EUR;
AR500265;Rechnung;100096;ALPHA SYSTEME E.K.;24.02.2025;24.02.2025;41494,00;EUR;
AR500266;Rechnung;100011;BOREAS BESCHICHTUNG E.K.;03.02.2025;03.02.2025;8755,00;EUR;
AR500267;Rechnung;100013;NOVA FORMTEILE GMBH;26.02.2025;26.02.2025;43932,00;EUR;
AR500268;Rechnung;100029;PRISMA WERKSTOFFE SE;25.02.2025;25.02.2025;11356,00;EUR;
AR500269;Rechnung;100023;OST PAPIER SE;10.02.2025;10.02.2025;40658,00;EUR;
AR500270;Rechnung;100016;MERKUR WERKSTOFFE SE;22.02.2025;22.02.2025;51739,00;EUR;
AR500271;Rechnung;100048;ATLAS ETIKETTEN GMBH & CO. KG;19.02.2025;19.02.2025;48825,00;EUR;
AR500272;Rechnung;100116;KRANICH MASCHINEN KG;22.02.2025;22.02.2025;6812,00;EUR;
AR500273;Rechnung;100001;FOKUS KUNSTSTOFF GMBH;21.02.2025;21.02.2025;25883,00;EUR;
AR500274;Rechnung;100051;PACTUM DISTRIBUTION KG;24.02.2025;24.02.2025;21972,00;EUR;
AR500275;Rechnung;100094;SATURN FORMTEILE SE;12.02.2025;12.02.2025;32589,00;EUR;
AR500276;Rechnung;100133;ADLER FORMTEILE GMBH & CO. KG;07.02.2025;07.02.2025;7130,00;EUR;
AR500277;Rechnung;100027;BOREAS TRANSPORT AG;26.02.2025;26.02.2025;39487,00;EUR;
AR500278;Rechnung;100083;MERKUR MASCHINEN GMBH;14.02.2025;14.02.2025;28136,00;EUR;
AR500279;Rechnung;100112;WEST CHEMIE GMBH & CO. KG;19.02.2025;19.02.2025;1475,00;EUR;
AR500280;Rechnung;100086;HELIOS FOLIEN GMBH & CO. KG;04.02.2025;04.02.2025;36283,00;EUR;
AR500281;Rechnung;100125;AURORA HANDEL GMBH;04.02.2025;04.02.2025;9378,00;EUR;
AR500282;Rechnung;100095;KRONOS MASCHINEN SE;09.02.2025;09.02.2025;50219,00;EUR;
AR500283;Rechnung;100068;VEGA ETIKETTEN KG;09.02.2025;09.02.2025;48092,00;EUR;
AR500284;Rechnung;100105;WEST SYSTEME GMBH & CO. KG;22.02.2025;22.02.2025;27582,00;EUR;
AR500285;Rechnung;100103;IRIS MASCHINEN AG;15.02.2025;15.02.2025;43709,00;EUR;
AR500286;Rechnung;100148;AURORA INDUSTRIEBEDARF GMBH & CO. KG;22.02.2025;22.02.2025;22781,00;EUR;
AR500287;Rechnung;100002;FOKUS DRUCK SE;07.02.2025;07.02.2025;41911,00;EUR;
AR500288;Rechnung;100084;FOKUS LOGISTIK AG;26.02.2025;26.02.2025;26723,00;EUR;
AR500289;Rechnung;100099;VEGA CHEMIE KG;04.02.2025;04.02.2025;8897,00;EUR;
AR500290;Rechnung;100125;AURORA HANDEL GMBH;03.02.2025;03.02.2025;20051,00;EUR;
AR500291;Rechnung;100084;FOKUS LOGISTIK AG;03.02.2025;03.02.2025;5942,00;EUR;
AR500292;Rechnung;100052;ORION TRANSPORT GMBH;26.02.2025;26.02.2025;21343,00;EUR;
AR500293;Rechnung;100099;VEGA CHEMIE KG;17.02.2025;17.02.2025;50326,00;EUR;
AR500294;Rechnung;100072;IRIS LOGISTIK E.K.;03.02.2025;03.02.2025;42316,00;EUR;
AR500295;Rechnung;100147;NOVA BESCHICHTUNG KG;15.02.2025;15.02.2025;30340,00;EUR;
AR500296;Rechnung;100147;NOVA BESCHICHTUNG KG;14.02.2025;14.02.2025;20337,00;EUR;
AR500297;Rechnung;100108;ATLAS MASCHINEN AG;17.02.2025;17.02.2025;43379,00;EUR;
AR500298;Rechnung;100090;WEST WERKSTOFFE GMBH;13.02.2025;13.02.2025;48936,00;EUR;
AR500299;Rechnung;100094;SATURN FORMTEILE SE;07.02.2025;07.02.2025;1719,00;EUR;
AR500300;Rechnung;100050;OST CHEMIE GMBH;26.02.2025;26.02.2025;27333,00;EUR;
AR500301;Rechnung;100131;WEST FORMTEILE GMBH;03.02.2025;03.02.2025;13282,00;EUR;
AR500302;Rechnung;100109;SOLUM KARTON GMBH & CO. KG;14.02.2025;14.02.2025;27778,00;EUR;
AR500303;Rechnung;100122;FOKUS SYSTEME GMBH;05.02.2025;05.02.2025;12927,00;EUR;
AR500304;Rechnung;100081;ADLER RECYCLING GMBH;10.02.2025;10.02.2025;12278,00;EUR;
AR500305;Rechnung;100115;BOREAS KUNSTSTOFF KG;16.02.2025;16.02.2025;15036,00;EUR;
AR500306;Rechnung;100136;KRANICH LOGISTIK GMBH;16.02.2025;16.02.2025;50024,00;EUR;
AR500307;Rechnung;100047;ADLER KARTON KG;02.02.2025;02.02.2025;41454,00;EUR;
AR500308;Rechnung;100062;POLLUX BESCHICHTUNG GMBH;17.02.2025;17.02.2025;29379,00;EUR;
AR500309;Rechnung;100143;NOVA WERKSTOFFE KG;04.02.2025;04.02.2025;34835,00;EUR;
AR500310;Rechnung;100100;KRONOS TRANSPORT SE;02.02.2025;02.02.2025;43049,00;EUR;
AR500311;Rechnung;100096;ALPHA SYSTEME E.K.;20.02.2025;20.02.2025;8053,00;EUR;
AR500312;Rechnung;100012;ATLAS FORMTEILE SE;12.02.2025;12.02.2025;43238,00;EUR;
AR500313;Rechnung;100032;OMEGA VERPACKUNG KG;18.02.2025;18.02.2025;20317,00;EUR;
AR500314;Rechnung;100019;POLLUX SYSTEME GMBH;08.02.2025;08.02.2025;51829,00;EUR;
AR500315;Rechnung;100106;ALPHA RECYCLING AG;23.02.2025;23.02.2025;17541,00;EUR;
AR500316;Rechnung;100118;LUPUS PAPIER GMBH;16.02.2025;16.02.2025;25510,00;EUR;
AR500317;Rechnung;100035;CIVES TECHNIK GMBH;16.02.2025;16.02.2025;4429,00;EUR;
AR500318;Rechnung;100111;PACTUM RECYCLING E.K.;28.02.2025;28.02.2025;51516,00;EUR;
AR500319;Rechnung;100068;VEGA ETIKETTEN KG;25.02.2025;25.02.2025;47866,00;EUR;
AR500320;Rechnung;100038;SATURN MASCHINEN GMBH;18.02.2025;18.02.2025;23641,00;EUR;
AR500321;Rechnung;100055;ADLER DRUCK KG;01.02.2025;01.02.2025;22213,00;EUR;
AR500322;Rechnung;100108;ATLAS MASCHINEN AG;10.02.2025;10.02.2025;27471,00;EUR;
AR500323;Rechnung;100132;CORVUS CHEMIE KG;17.02.2025;17.02.2025;28561,00;EUR;
AR500324;Rechnung;100099;VEGA CHEMIE KG;01.02.2025;01.02.2025;37548,00;EUR;
AR500325;Rechnung;100030;PRISMA ETIKETTEN AG;15.02.2025;15.02.2025;37189,00;EUR;
AR500326;Rechnung;100024;KRANICH HANDEL GMBH;17.02.2025;17.02.2025;27953,00;EUR;
AR500327;Rechnung;100100;KRONOS TRANSPORT SE;04.02.2025;04.02.2025;51100,00;EUR;
AR500328;Rechnung;100012;ATLAS FORMTEILE SE;19.02.2025;19.02.2025;7756,00;EUR;
AR500329;Rechnung;100006;SÜD DRUCK GMBH;19.02.2025;19.02.2025;19199,00;EUR;
AR500330;Rechnung;100020;ADLER TRANSPORT GMBH;10.02.2025;10.02.2025;26956,00;EUR;
AR500331;Rechnung;100072;IRIS LOGISTIK E.K.;20.02.2025;20.02.2025;24902,00;EUR;
AR500332;Rechnung;100010;FOKUS TECHNIK GMBH;20.02.2025;20.02.2025;26437,00;EUR;
AR500333;Rechnung;100062;POLLUX BESCHICHTUNG GMBH;27.02.2025;27.02.2025;43183,00;EUR;
AR500334;Rechnung;100123;SÜD CHEMIE GMBH & CO. KG;02.02.2025;02.02.2025;17399,00;EUR;
AR500335;Rechnung;100048;ATLAS ETIKETTEN GMBH & CO. KG;10.02.2025;10.02.2025;47572,00;EUR;
AR500336;Rechnung;100136;KRANICH LOGISTIK GMBH;25.02.2025;25.02.2025;22204,00;EUR;
AR500337;Rechnung;100070;ADLER DRUCK GMBH;07.02.2025;07.02.2025;10720,00;EUR;
AR500338;Rechnung;100132;CORVUS CHEMIE KG;08.02.2025;08.02.2025;50131,00;EUR;
AR500339;Rechnung;100099;VEGA CHEMIE KG;23.02.2025;23.02.2025;37921,00;EUR;
AR500340;Rechnung;100116;KRANICH MASCHINEN KG;25.03.2025;25.03.2025;4115,00;EUR;
AR500341;Rechnung;100053;REIHER LOGISTIK GMBH;05.03.2025;05.03.2025;27987,00;EUR;
AR500342;Rechnung;100014;ALPHA HANDEL GMBH;31.03.2025;31.03.2025;5349,00;EUR;
AR500343;Rechnung;100104;NORD INDUSTRIEBEDARF GMBH;14.03.2025;14.03.2025;11758,00;EUR;
AR500344;Rechnung;100040;SOLUM WERKSTOFFE GMBH;07.03.2025;07.03.2025;21948,00;EUR;
AR500345;Rechnung;100018;SOLUM RECYCLING AG;24.03.2025;24.03.2025;41677,00;EUR;
AR500346;Rechnung;100124;MERKUR MASCHINEN KG;11.03.2025;11.03.2025;16454,00;EUR;
AR500347;Rechnung;100077;KRANICH FORMTEILE E.K.;03.03.2025;03.03.2025;18139,00;EUR;
AR500348;Rechnung;100013;NOVA FORMTEILE GMBH;17.03.2025;17.03.2025;22120,00;EUR;
AR500349;Rechnung;100159;MERKUR DRUCK AG;02.03.2025;02.03.2025;5602,00;EUR;
AR500350;Rechnung;100069;HELIOS WERKSTOFFE GMBH;22.03.2025;22.03.2025;3478,00;EUR;
AR500351;Rechnung;100150;SÜD RECYCLING GMBH;11.03.2025;11.03.2025;21705,00;EUR;
AR500352;Rechnung;100064;FALKE MASCHINEN GMBH;29.03.2025;29.03.2025;40756,00;EUR;
AR500353;Rechnung;100060;ATLAS FOLIEN GMBH & CO. KG;29.03.2025;29.03.2025;29792,00;EUR;
AR500354;Rechnung;100033;WEST TECHNIK GMBH;25.03.2025;25.03.2025;14729,00;EUR;
AR500355;Rechnung;100112;WEST CHEMIE GMBH & CO. KG;27.03.2025;27.03.2025;5728,00;EUR;
AR500356;Rechnung;100078;FALKE SYSTEME GMBH;20.03.2025;20.03.2025;54794,00;EUR;
AR500357;Rechnung;100157;IRIS DISTRIBUTION GMBH;02.03.2025;02.03.2025;32779,00;EUR;
AR500358;Rechnung;100074;WEST LOGISTIK KG;28.03.2025;28.03.2025;10802,00;EUR;
AR500359;Rechnung;100080;RATIO SYSTEME GMBH;09.03.2025;09.03.2025;47178,00;EUR;
AR500360;Rechnung;100012;ATLAS FORMTEILE SE;08.03.2025;08.03.2025;5802,00;EUR;
AR500361;Rechnung;100126;DELTA TECHNIK SE;29.03.2025;29.03.2025;7959,00;EUR;
AR500362;Rechnung;100004;PRISMA SYSTEME AG;03.03.2025;03.03.2025;44581,00;EUR;
AR500363;Rechnung;100091;RATIO RECYCLING AG;14.03.2025;14.03.2025;33346,00;EUR;
AR500364;Rechnung;100085;WEST LOGISTIK GMBH;05.03.2025;05.03.2025;34227,00;EUR;
AR500365;Rechnung;100031;RATIO PAPIER KG;15.03.2025;15.03.2025;28845,00;EUR;
AR500366;Rechnung;100085;WEST LOGISTIK GMBH;31.03.2025;31.03.2025;24916,00;EUR;
AR500367;Rechnung;100029;PRISMA WERKSTOFFE SE;29.03.2025;29.03.2025;12953,00;EUR;
AR500368;Rechnung;100134;SOLUM TRANSPORT E.K.;01.03.2025;01.03.2025;6268,00;EUR;
AR500369;Rechnung;100118;LUPUS PAPIER GMBH;19.03.2025;19.03.2025;19895,00;EUR;
AR500370;Rechnung;100092;SATURN ETIKETTEN GMBH;13.03.2025;13.03.2025;14519,00;EUR;
AR500371;Rechnung;100090;WEST WERKSTOFFE GMBH;12.03.2025;12.03.2025;28282,00;EUR;
AR500372;Rechnung;100062;POLLUX BESCHICHTUNG GMBH;30.03.2025;30.03.2025;35013,00;EUR;
AR500373;Rechnung;100117;ATLAS HANDEL E.K.;30.03.2025;30.03.2025;37454,00;EUR;
AR500374;Rechnung;100134;SOLUM TRANSPORT E.K.;07.03.2025;07.03.2025;30366,00;EUR;
AR500375;Rechnung;100083;MERKUR MASCHINEN GMBH;05.03.2025;05.03.2025;42214,00;EUR;
AR500376;Rechnung;100037;PACTUM TECHNIK GMBH;01.03.2025;01.03.2025;53603,00;EUR;
AR500377;Rechnung;100080;RATIO SYSTEME GMBH;27.03.2025;27.03.2025;15556,00;EUR;
AR500378;Rechnung;100032;OMEGA VERPACKUNG KG;20.03.2025;20.03.2025;38397,00;EUR;
AR500379;Rechnung;100143;NOVA WERKSTOFFE KG;23.03.2025;23.03.2025;17015,00;EUR;
AR500380;Rechnung;100141;SOLUM TRANSPORT KG;23.03.2025;23.03.2025;54598,00;EUR;
AR500381;Rechnung;100086;HELIOS FOLIEN GMBH & CO. KG;03.03.2025;03.03.2025;49671,00;EUR;
AR500382;Rechnung;100040;SOLUM WERKSTOFFE GMBH;09.03.2025;09.03.2025;44709,00;EUR;
AR500383;Rechnung;100097;VEGA WERKSTOFFE KG;08.03.2025;08.03.2025;49446,00;EUR;
AR500384;Rechnung;100096;ALPHA SYSTEME E.K.;31.03.2025;31.03.2025;20785,00;EUR;
AR500385;Rechnung;100004;PRISMA SYSTEME AG;29.03.2025;29.03.2025;26534,00;EUR;
AR500386;Rechnung;100070;ADLER DRUCK GMBH;18.03.2025;18.03.2025;23677,00;EUR;
AR500387;Rechnung;100107;CASTOR VERPACKUNG AG;31.03.2025;31.03.2025;37519,00;EUR;
AR500388;Rechnung;100134;SOLUM TRANSPORT E.K.;01.03.2025;01.03.2025;15023,00;EUR;
AR500389;Rechnung;100151;KRONOS KUNSTSTOFF KG;23.03.2025;23.03.2025;51724,00;EUR;
AR500390;Rechnung;100030;PRISMA ETIKETTEN AG;13.03.2025;13.03.2025;47315,00;EUR;
AR500391;Rechnung;100103;IRIS MASCHINEN AG;07.03.2025;07.03.2025;29956,00;EUR;
AR500392;Rechnung;100128;RATIO INDUSTRIEBEDARF AG;20.03.2025;20.03.2025;5842,00;EUR;
AR500393;Rechnung;100101;WEST KARTON GMBH;08.03.2025;08.03.2025;41982,00;EUR;
AR500394;Rechnung;100068;VEGA ETIKETTEN KG;05.03.2025;05.03.2025;30638,00;EUR;
AR500395;Rechnung;100106;ALPHA RECYCLING AG;21.03.2025;21.03.2025;41238,00;EUR;
AR500396;Rechnung;100148;AURORA INDUSTRIEBEDARF GMBH & CO. KG;04.03.2025;04.03.2025;16181,00;EUR;
AR500397;Rechnung;100028;VEGA FOLIEN GMBH;25.03.2025;25.03.2025;42739,00;EUR;
AR500398;Rechnung;100069;HELIOS WERKSTOFFE GMBH;02.03.2025;02.03.2025;22868,00;EUR;
AR500399;Rechnung;100075;FALKE ETIKETTEN E.K.;04.03.2025;04.03.2025;23392,00;EUR;
AR500400;Rechnung;100150;SÜD RECYCLING GMBH;28.03.2025;28.03.2025;23955,00;EUR;
AR500401;Rechnung;100052;ORION TRANSPORT GMBH;31.03.2025;31.03.2025;12022,00;EUR;
AR500402;Rechnung;100100;KRONOS TRANSPORT SE;26.03.2025;26.03.2025;43158,00;EUR;
AR500403;Rechnung;100093;TERRA RECYCLING GMBH;13.03.2025;13.03.2025;7532,00;EUR;
AR500404;Rechnung;100003;IRIS MASCHINEN KG;11.03.2025;11.03.2025;25639,00;EUR;
AR500405;Rechnung;100039;IRIS TECHNIK GMBH;02.03.2025;02.03.2025;19629,00;EUR;
AR500406;Rechnung;100153;KRONOS INDUSTRIEBEDARF E.K.;18.03.2025;18.03.2025;22124,00;EUR;
AR500407;Rechnung;100079;CORVUS KARTON GMBH;05.03.2025;05.03.2025;31393,00;EUR;
AR500408;Rechnung;100010;FOKUS TECHNIK GMBH;11.03.2025;11.03.2025;49287,00;EUR;
AR500409;Rechnung;100129;ALPHA PAPIER E.K.;05.03.2025;05.03.2025;5093,00;EUR;
AR500410;Rechnung;100056;NORD WERKSTOFFE SE;07.03.2025;07.03.2025;12731,00;EUR;
AR500411;Rechnung;100126;DELTA TECHNIK SE;17.03.2025;17.03.2025;29011,00;EUR;
AR500412;Rechnung;100044;VEGA FORMTEILE GMBH;16.03.2025;16.03.2025;41859,00;EUR;
AR500413;Rechnung;100153;KRONOS INDUSTRIEBEDARF E.K.;17.03.2025;17.03.2025;41455,00;EUR;
AR500414;Rechnung;100038;SATURN MASCHINEN GMBH;15.03.2025;15.03.2025;5514,00;EUR;
AR500415;Rechnung;100099;VEGA CHEMIE KG;17.03.2025;17.03.2025;53715,00;EUR;
AR500416;Rechnung;100084;FOKUS LOGISTIK AG;19.03.2025;19.03.2025;46743,00;EUR;
AR500417;Rechnung;100098;PACTUM FOLIEN AG;07.03.2025;07.03.2025;49828,00;EUR;
AR500418;Rechnung;100134;SOLUM TRANSPORT E.K.;29.03.2025;29.03.2025;51283,00;EUR;
AR500419;Rechnung;100053;REIHER LOGISTIK GMBH;30.03.2025;30.03.2025;38294,00;EUR;
AR500420;Rechnung;100056;NORD WERKSTOFFE SE;14.03.2025;14.03.2025;30218,00;EUR;
AR500421;Rechnung;100141;SOLUM TRANSPORT KG;05.03.2025;05.03.2025;31715,00;EUR;
AR500422;Rechnung;100154;CIVES WERKSTOFFE E.K.;21.03.2025;21.03.2025;17941,00;EUR;
AR500423;Rechnung;100020;ADLER TRANSPORT GMBH;11.03.2025;11.03.2025;42188,00;EUR;
AR500424;Rechnung;100159;MERKUR DRUCK AG;08.03.2025;08.03.2025;1874,00;EUR;
AR500425;Rechnung;100089;LUPUS RECYCLING GMBH;18.03.2025;18.03.2025;51369,00;EUR;
AR500426;Rechnung;100068;VEGA ETIKETTEN KG;21.03.2025;21.03.2025;30729,00;EUR;
AR500427;Rechnung;100109;SOLUM KARTON GMBH & CO. KG;26.03.2025;26.03.2025;29760,00;EUR;
AR500428;Rechnung;100128;RATIO INDUSTRIEBEDARF AG;19.03.2025;19.03.2025;5514,00;EUR;
AR500429;Rechnung;100047;ADLER KARTON KG;28.03.2025;28.03.2025;43012,00;EUR;
AR500430;Rechnung;100046;SÜD KUNSTSTOFF KG;26.03.2025;26.03.2025;9392,00;EUR;
AR500431;Rechnung;100052;ORION TRANSPORT GMBH;25.03.2025;25.03.2025;49298,00;EUR;
AR500432;Rechnung;100140;MERKUR HANDEL E.K.;12.03.2025;12.03.2025;43458,00;EUR;
AR500433;Rechnung;100035;CIVES TECHNIK GMBH;30.03.2025;30.03.2025;18472,00;EUR;
AR500434;Rechnung;100027;BOREAS TRANSPORT AG;07.03.2025;07.03.2025;4629,00;EUR;
AR500435;Rechnung;100048;ATLAS ETIKETTEN GMBH & CO. KG;20.03.2025;20.03.2025;39880,00;EUR;
AR500436;Rechnung;100053;REIHER LOGISTIK GMBH;16.03.2025;16.03.2025;29003,00;EUR;
AR500437;Rechnung;100079;CORVUS KARTON GMBH;29.03.2025;29.03.2025;54756,00;EUR;
AR500438;Rechnung;100066;SOLUM PAPIER GMBH;25.03.2025;25.03.2025;27494,00;EUR;
AR500439;Rechnung;100010;FOKUS TECHNIK GMBH;27.03.2025;27.03.2025;48215,00;EUR;
AR500440;Rechnung;100067;NOVA DRUCK GMBH;19.03.2025;19.03.2025;18546,00;EUR;
AR500441;Rechnung;100086;HELIOS FOLIEN GMBH & CO. KG;09.03.2025;09.03.2025;36918,00;EUR;
AR500442;Rechnung;100114;ATLAS CHEMIE GMBH;10.03.2025;10.03.2025;29750,00;EUR;
AR500443;Rechnung;100152;NORD WERKSTOFFE GMBH;15.03.2025;15.03.2025;8585,00;EUR;
AR500444;Rechnung;100024;KRANICH HANDEL GMBH;22.03.2025;22.03.2025;30024,00;EUR;
AR500445;Rechnung;100104;NORD INDUSTRIEBEDARF GMBH;31.03.2025;31.03.2025;34522,00;EUR;
AR500446;Rechnung;100073;KRANICH MASCHINEN AG;10.03.2025;10.03.2025;29611,00;EUR;
AR500447;Rechnung;100103;IRIS MASCHINEN AG;06.03.2025;06.03.2025;14544,00;EUR;
AR500448;Rechnung;100148;AURORA INDUSTRIEBEDARF GMBH & CO. KG;25.03.2025;25.03.2025;21344,00;EUR;
AR500449;Rechnung;100086;HELIOS FOLIEN GMBH & CO. KG;01.03.2025;01.03.2025;54012,00;EUR;
AR500450;Rechnung;100025;LUPUS CHEMIE AG;10.03.2025;10.03.2025;45763,00;EUR;
AR500451;Rechnung;100010;FOKUS TECHNIK GMBH;16.03.2025;16.03.2025;17154,00;EUR;
AR500452;Rechnung;100099;VEGA CHEMIE KG;16.03.2025;16.03.2025;5806,00;EUR;
AR500453;Rechnung;100153;KRONOS INDUSTRIEBEDARF E.K.;16.03.2025;16.03.2025;50159,00;EUR;
AR500454;Rechnung;100052;ORION TRANSPORT GMBH;07.03.2025;07.03.2025;30039,00;EUR;
AR500455;Rechnung;100133;ADLER FORMTEILE GMBH & CO. KG;06.03.2025;06.03.2025;5022,00;EUR;
AR500456;Rechnung;100066;SOLUM PAPIER GMBH;24.03.2025;24.03.2025;26112,00;EUR;
AR500457;Rechnung;100010;FOKUS TECHNIK GMBH;19.03.2025;19.03.2025;49280,00;EUR;
AR500458;Rechnung;100119;TITAN WERKSTOFFE GMBH & CO. KG;15.03.2025;15.03.2025;35706,00;EUR;
AR500459;Rechnung;100057;CORVUS FORMTEILE GMBH;22.03.2025;22.03.2025;15504,00;EUR;
AR500460;Rechnung;100001;FOKUS KUNSTSTOFF GMBH;10.03.2025;10.03.2025;46651,00;EUR;
AR500461;Rechnung;100143;NOVA WERKSTOFFE KG;09.03.2025;09.03.2025;18316,00;EUR;
AR500462;Rechnung;100060;ATLAS FOLIEN GMBH & CO. KG;14.03.2025;14.03.2025;40327,00;EUR;
AR500463;Rechnung;100103;IRIS MASCHINEN AG;26.03.2025;26.03.2025;32085,00;EUR;
AR500464;Rechnung;100081;ADLER RECYCLING GMBH;22.03.2025;22.03.2025;4849,00;EUR;
AR500465;Rechnung;100110;RATIO RECYCLING E.K.;03.03.2025;03.03.2025;2096,00;EUR;
AR500466;Rechnung;100012;ATLAS FORMTEILE SE;16.03.2025;16.03.2025;41902,00;EUR;
AR500467;Rechnung;100120;WEST TECHNIK SE;28.03.2025;28.03.2025;32172,00;EUR;
AR500468;Rechnung;100139;RATIO BESCHICHTUNG KG;21.03.2025;21.03.2025;2714,00;EUR;
AR500469;Rechnung;100032;OMEGA VERPACKUNG KG;09.03.2025;09.03.2025;18425,00;EUR;
AR500470;Rechnung;100120;WEST TECHNIK SE;16.03.2025;16.03.2025;45649,00;EUR;
AR500471;Rechnung;100071;VEGA PAPIER GMBH;14.03.2025;14.03.2025;30342,00;EUR;
AR500472;Rechnung;100135;PACTUM KARTON E.K.;29.03.2025;29.03.2025;16402,00;EUR;
AR500473;Rechnung;100047;ADLER KARTON KG;27.03.2025;27.03.2025;1359,00;EUR;
AR500474;Rechnung;100088;NOVA BESCHICHTUNG GMBH;12.03.2025;12.03.2025;53216,00;EUR;
AR500475;Rechnung;100124;MERKUR MASCHINEN KG;11.03.2025;11.03.2025;2960,00;EUR;
AR500476;Rechnung;100109;SOLUM KARTON GMBH & CO. KG;17.03.2025;17.03.2025;5862,00;EUR;
AR500477;Rechnung;100094;SATURN FORMTEILE SE;24.03.2025;24.03.2025;25561,00;EUR;
AR500478;Rechnung;100138;ALPHA FOLIEN GMBH;07.03.2025;07.03.2025;22898,00;EUR;
AR500479;Rechnung;100060;ATLAS FOLIEN GMBH & CO. KG;26.03.2025;26.03.2025;31835,00;EUR;
AR500480;Rechnung;100071;VEGA PAPIER GMBH;25.03.2025;25.03.2025;6616,00;EUR;
AR500481;Rechnung;100103;IRIS MASCHINEN AG;12.03.2025;12.03.2025;33759,00;EUR;
AR500482;Rechnung;100132;CORVUS CHEMIE KG;02.03.2025;02.03.2025;21016,00;EUR;
AR500483;Rechnung;100135;PACTUM KARTON E.K.;12.03.2025;12.03.2025;43508,00;EUR;
AR500484;Rechnung;100082;NORD PAPIER KG;12.03.2025;12.03.2025;25462,00;EUR;
AR500485;Rechnung;100092;SATURN ETIKETTEN GMBH;02.03.2025;02.03.2025;23272,00;EUR;
AR500486;Rechnung;100145;ATLAS RECYCLING SE;05.03.2025;05.03.2025;37751,00;EUR;
AR500487;Rechnung;100131;WEST FORMTEILE GMBH;10.03.2025;10.03.2025;50973,00;EUR;
AR500488;Rechnung;100046;SÜD KUNSTSTOFF KG;07.03.2025;07.03.2025;5966,00;EUR;
AR500489;Rechnung;100056;NORD WERKSTOFFE SE;22.03.2025;22.03.2025;17485,00;EUR;
AR500490;Rechnung;100038;SATURN MASCHINEN GMBH;12.03.2025;12.03.2025;6466,00;EUR;
AR500491;Rechnung;100109;SOLUM KARTON GMBH & CO. KG;08.03.2025;08.03.2025;37353,00;EUR;
AR500492;Rechnung;100047;ADLER KARTON KG;26.03.2025;26.03.2025;33779,00;EUR;
AR500493;Rechnung;100091;RATIO RECYCLING AG;04.03.2025;04.03.2025;48536,00;EUR;
AR500494;Rechnung;100065;ATLAS ETIKETTEN E.K.;21.03.2025;21.03.2025;34149,00;EUR;
AR500495;Rechnung;100103;IRIS MASCHINEN AG;16.03.2025;16.03.2025;16198,00;EUR;
AR500496;Rechnung;100125;AURORA HANDEL GMBH;09.03.2025;09.03.2025;49174,00;EUR;
AR500497;Rechnung;100088;NOVA BESCHICHTUNG GMBH;07.03.2025;07.03.2025;37489,00;EUR;
AR500498;Rechnung;100077;KRANICH FORMTEILE E.K.;30.03.2025;30.03.2025;6815,00;EUR;
AR500499;Rechnung;100099;VEGA CHEMIE KG;27.03.2025;27.03.2025;33832,00;EUR;
AR500500;Rechnung;100094;SATURN FORMTEILE SE;06.03.2025;06.03.2025;15707,00;EUR;
AR500501;Rechnung;100106;ALPHA RECYCLING AG;09.03.2025;09.03.2025;13926,00;EUR;
AR500502;Rechnung;100028;VEGA FOLIEN GMBH;22.03.2025;22.03.2025;34953,00;EUR;
AR500503;Rechnung;100109;SOLUM KARTON GMBH & CO. KG;18.03.2025;18.03.2025;482,00;EUR;
AR500504;Rechnung;100085;WEST LOGISTIK GMBH;27.03.2025;27.03.2025;16896,00;EUR;
AR500505;Rechnung;100059;FOKUS RECYCLING GMBH & CO. KG;30.03.2025;30.03.2025;28439,00;EUR;
AR500506;Rechnung;100086;HELIOS FOLIEN GMBH & CO. KG;09.03.2025;09.03.2025;17697,00;EUR;
AR500507;Rechnung;100065;ATLAS ETIKETTEN E.K.;07.03.2025;07.03.2025;26952,00;EUR;
AR500508;Rechnung;100152;NORD WERKSTOFFE GMBH;05.03.2025;05.03.2025;27466,00;EUR;
AR500509;Rechnung;100067;NOVA DRUCK GMBH;31.03.2025;31.03.2025;9823,00;EUR;
AR500510;Rechnung;100040;SOLUM WERKSTOFFE GMBH;25.04.2025;25.04.2025;14575,00;EUR;
AR500511;Rechnung;100032;OMEGA VERPACKUNG KG;30.04.2025;30.04.2025;8488,00;EUR;
